bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1228940,MN,HF2075,State Board of Investment report on fossil fuel divestment mandated.,2019-03-04,H,"Introduction and first reading, referred to Government Operations",2019-03-04,https://legiscan.com/MN/text/HF2075/id/1943457
1233520,MN,HF2203,Buy Clean Minnesota Act created.,2019-03-07,H,"Introduction and first reading, referred to Government Operations",2019-03-07,https://legiscan.com/MN/text/HF2203/id/1950101
1346643,MN,SF3518,"Climate change taught across all subject areas requirement, appropriating money",2020-02-24,S,Referred to E-12 Finance and Policy,2020-02-24,https://legiscan.com/MN/text/SF3518/id/2146027
1467422,MN,SF1630,State greenhouse gas reduction goals modification; governmental actions consistency with greenhouse gas reduction goals requirement,2021-03-01,S,Authors added Dibble; Hawj; Eaton; Torres Ray,2021-03-11,https://legiscan.com/MN/text/SF1630/id/2314518
1491738,MN,HF2468,"Climate resiliency program funding provided, and money appropriated.",2021-04-06,H,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",2021-04-06,https://legiscan.com/MN/text/HF2468/id/2357332
1342033,MN,HF3436,"Energy; various grant programs established, and money appropriated.",2020-02-17,H,Author added Moller,2020-03-11,https://legiscan.com/MN/text/HF3436/id/2139235
1357185,MN,SF4215,Miscellaneous energy conservation provisions,2020-03-09,S,Referred to Energy and Utilities Finance and Policy,2020-03-09,https://legiscan.com/MN/text/SF4215/id/2164251
1343669,MN,SF3314,Climate change impacts on state capital funding needs assessment appropriation,2020-02-20,S,Referred to Environment and Natural Resources Policy and Legacy Finance,2020-02-20,https://legiscan.com/MN/text/SF3314/id/2141756
1611566,MN,HF4658,Climate change excluded from peacetime emergency declarations.,2022-03-28,H,Authors added Lucero and Heinrich,2022-03-30,https://legiscan.com/MN/text/HF4658/id/2558093
1611470,MN,HF4654,"Energy and climate change need supplemental budget established, renewable development account modified, water utility energy resilience program established, energy and climate change technology investment fund established, reports required, and money approprated.",2022-03-28,H,Author added Schultz,2022-04-07,https://legiscan.com/MN/text/HF4654/id/2557976
986998,MN,HF2262,Climate change consideration in environmental impact statements required.,2017-03-08,H,"Introduction and first reading, referred to Environment and Natural Resources Policy and Finance",2017-03-08,https://legiscan.com/MN/text/HF2262/id/1552123
1478132,MN,SF1999,Minnesota Innovation Finance Authority establishment,2021-03-11,S,Referred to Energy and Utilities Finance and Policy,2021-03-11,https://legiscan.com/MN/text/SF1999/id/2330056
1476528,MN,HF2044,"Nonprofit corporation established to finance and leverage private investment for clean energy, report required, and money appropriated.",2021-03-09,H,Author added Freiberg,2021-04-13,https://legiscan.com/MN/text/HF2044/id/2327857
268317,MN,SF322,Resolution memorializing Congress regarding the unauthorized and unscientific regulation of carbon dioxide emissions by environmental protection agency (EPA),2011-02-14,S,"Referred to Energy, Utilities and Telecommunications",2011-02-14,https://legiscan.com/MN/text/SF322/id/162171
1415650,MN,HF214,"Minnesota forests for future program, state nursery operations, and Minnesota Forest Resource Council, and Sustainable Forest Incentive Act purpose and provisions modified.",2021-01-21,H,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",2021-01-21,https://legiscan.com/MN/text/HF214/id/2251219
1463786,MN,SF1384,"Minnesota forests for future program, state nursery operations, Minnesota Forest Resources Council, and Sustainable Forest Incentive Act purpose and other provisions modifications",2021-02-25,S,Authors added Kunesh; Hawj; Johnson Stewart; Fateh,2021-03-01,https://legiscan.com/MN/text/SF1384/id/2309362
1611438,MN,HF4649,"Environment and natural resources trust fund renewal and modification provided, providing for housing fund and Housing Fund Council, lottery provisions modified, money appropriated, and constitutional amendment proposed.",2022-03-28,H,Second reading,2022-05-20,https://legiscan.com/MN/text/HF4649/id/2585748
290198,MN,SF483,Resolution urging support for the Republic of China as a part of the global community,2011-02-28,S,Referred to State Government Innovation and Veterans,2011-02-28,https://legiscan.com/MN/text/SF483/id/199853
312908,MN,HF1437,Taiwan supported as a part of the global community.,2011-04-11,H,"Introduction and first reading, referred to Environment, Energy and Natural Resources Policy and Finance",2011-04-11,https://legiscan.com/MN/text/HF1437/id/260664
1224761,MN,HF1842,"Solar energy incentive program modified, various renewable energy and other energy-related programs established, utility filing governed, reports required, and money appropriated.",2019-02-28,H,Secretary of State Chapter 118 ,2020-05-27,https://legiscan.com/MN/text/HF1842/id/2184795
1612503,MN,SF4392,Energy and climate change supplemental appropriations establishment,2022-03-31,S,Referred to Energy and Utilities Finance and Policy,2022-03-31,https://legiscan.com/MN/text/SF4392/id/2560068
1238303,MN,HF2452,Licensed professional engineers required to earn professional development hours dedicated to climate change impact.,2019-03-13,H,"Introduction and first reading, referred to Commerce",2019-03-13,https://legiscan.com/MN/text/HF2452/id/1957697
1243602,MN,SF2658,Licensed professional engineers earning of professional development hours dedicated to the impact of climate change requirement,2019-03-25,S,Author added Eaton,2019-03-26,https://legiscan.com/MN/text/SF2658/id/1969703
1355029,MN,SF3949,Climate change school districts students education,2020-03-04,S,Referred to E-12 Finance and Policy,2020-03-04,https://legiscan.com/MN/text/SF3949/id/2159769
