bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1539635,HI,HB1383,Relating To The Division Of Consumer Advocacy.,2021-01-27,H,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/HB1383/id/2457364
805810,HI,HB801,Special Purpose Revenue Bonds; SunStrong LLC; Renewable Energy Developer ($),2015-01-28,H,"Act 116, 06/22/2016 (Gov. Msg. No. 1217).",2016-06-23,https://legiscan.com/HI/text/HB801/id/1398089
1163382,HI,HB449,Relating To Sustainability.,2019-01-22,H,"Re-Referred to EET/WTL/GVO, WAM.",2019-03-11,https://legiscan.com/HI/text/HB449/id/1905679
1562506,HI,SB2067,Relating To Burial Sites.,2022-01-19,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2022-02-03,https://legiscan.com/HI/text/SB2067/id/2504029
1291424,HI,HB449,Relating To Sustainability.,2019-01-22,H,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/HB449/id/2079180
832193,HI,SB3044,Transitional Energy Working Group,2016-01-27,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2016-02-19,https://legiscan.com/HI/text/SB3044/id/1343640
1314870,HI,HB2031,Relating To The Wahiawa Dam And Reservoir.,2020-01-21,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) McDermott, Saiki excused (2).",2020-02-05,https://legiscan.com/HI/text/HB2031/id/2121909
1071243,HI,HB2719,Relating To Energy.,2018-01-24,H,"Re-Referred to TRE, WAM.",2018-03-13,https://legiscan.com/HI/text/HB2719/id/1732892
593283,HI,HB1730,"SPRB; Pacific Power Group, LLC ($)",2014-01-17,H,"Referred to ENE/CPN, WAM.",2014-03-06,https://legiscan.com/HI/text/HB1730/id/958953
1160845,HI,HB78,Relating To The Division Of Consumer Advocacy.,2019-01-18,H,The committee(s) on CPC recommend(s) that the measure be deferred.,2019-02-07,https://legiscan.com/HI/text/HB78/id/1858664
1289986,HI,HB78,Relating To The Division Of Consumer Advocacy.,2019-01-18,H,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/HB78/id/2076805
832298,HI,SB3076,Transit-oriented Development; Office of Planning; Appropriation ($),2016-01-27,S,"Referred to TRN/WAL, EDB, FIN, referral sheet 26",2016-03-10,https://legiscan.com/HI/text/SB3076/id/1360022
1422010,HI,SB999,Relating To Forestry.,2021-01-27,S,The committee on WAM deferred the measure.,2021-02-17,https://legiscan.com/HI/text/SB999/id/2291026
1540868,HI,SB999,Relating To Forestry.,2021-01-27,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB999/id/2459257
1419519,HI,SB486,Relating To Composting.,2021-01-22,S,The committee on AEN deferred the measure.,2021-02-17,https://legiscan.com/HI/text/SB486/id/2256122
1170160,HI,SB1441,Relating To The Division Of Consumer Advocacy.,2019-01-24,S,"Referred to GVO/CPH, WAM.",2019-01-28,https://legiscan.com/HI/text/SB1441/id/1868874
